"","age","gender","residence","length_residency","n_family","n_friends","n_acquaintances","B","CON","NE","EE","NE_cent","EE_cent","talk"
"102",63,"Vrouwelijk","Reitdiep",174,0,2,10,5.25,3.75,2.25,3,-0.599537037037037,0.425925925925926,2
"103",59,"Vrouwelijk","Reitdiep",236,0,2,20,5,4.75,3.5,3,0.650462962962963,0.425925925925926,3
"104",25,"Mannelijk","Oosterpoort",48,0,3,3,3.25,4,4,3.5,1.15046296296296,0.925925925925926,1
"105",21,"Mannelijk","Oosterpoort",7,0,3,0,3.5,4,2.75,2.75,-0.0995370370370372,0.175925925925926,1
"106",NA,"","Reitdiep",NA,0,8,25,4.5,4.25,2.25,2.25,-0.599537037037037,-0.324074074074074,NA
"107",29,"Mannelijk","Van Starkenborgh (car)",23,0,0,6,4.5,4.75,2.75,2.75,-0.0995370370370372,0.175925925925926,2
"108",38,"Vrouwelijk","Reitdiep",48,0,2,10,4.25,3.75,3,2.75,0.150462962962963,0.175925925925926,2
"109",66,"Mannelijk","Reitdiep",145,0,0,2,5.25,4.25,3.25,2.5,0.400462962962963,-0.074074074074074,2
"110",46,"Vrouwelijk","Reitdiep",75,0,2,8,3.5,2.75,3,2.75,0.150462962962963,0.175925925925926,1
"111",25,"Vrouwelijk","Oosterpoort",15,0,0,4,5,3.75,2.75,3.25,-0.0995370370370372,0.675925925925926,1
"112",72,"Mannelijk","Reitdiep",200,1,4,20,4.5,4.25,3,2.5,0.150462962962963,-0.074074074074074,3
"113",51,"Mannelijk","Oosterpoort",192,0,5,10,5.5,4.5,4,3.25,1.15046296296296,0.675925925925926,3
"114",40,"Mannelijk","Oosterpoort",30,2,3,2,6,4.75,1,3,-1.84953703703704,0.425925925925926,3
"115",67,"Mannelijk","Reitdiep",200,4,0,6,4.25,4.75,3.25,2,0.400462962962963,-0.574074074074074,2
"116",47,"Mannelijk","Reitdiep",NA,0,8,25,4.75,4.25,3.25,3,0.400462962962963,0.425925925925926,NA
"117",41,"Vrouwelijk","Reitdiep",132,5,2,5,6,4.75,3.75,3,0.900462962962963,0.425925925925926,3
"118",47,"Mannelijk","Reitdiep",228,0,6,20,5,3.75,2.25,2.5,-0.599537037037037,-0.074074074074074,3
"119",46,"Mannelijk","Reitdiep",144,4,5,75,6,5,3.25,2.75,0.400462962962963,0.175925925925926,3
"120",64,"Vrouwelijk","Reitdiep",200,0,2,20,5.75,4,2.75,2.25,-0.0995370370370372,-0.324074074074074,3
"121",49,"Vrouwelijk","Reitdiep",130,0,0,0,1.75,2.5,2.25,2.25,-0.599537037037037,-0.324074074074074,1
"122",26,"Mannelijk","Oosterpoort",2,0,0,0,3,2.5,3.5,2.5,0.650462962962963,-0.074074074074074,1
"123",35,"Vrouwelijk","Reitdiep",75,2,8,12,6,4.5,2,2,-0.849537037037037,-0.574074074074074,3
"124",50,"Wil ik liever niet zeggen","Van Starkenborgh (car)",240,0,8,20,4.25,3.25,2.5,2.75,-0.349537037037037,0.175925925925926,2
"125",25,"Vrouwelijk","Oosterpoort",28,1,2,0,6,4.25,2,2,-0.849537037037037,-0.574074074074074,2
"126",NA,"","Van Starkenborgh (car)",NA,0,8,16,3.75,2.75,2,2.25,-0.849537037037037,-0.324074074074074,NA
"127",59,"Wil ik liever niet zeggen","Van Starkenborgh (car)",99,0,4,6,6,4.5,2.75,2.25,-0.0995370370370372,-0.324074074074074,1
"128",NA,"","Van Starkenborgh (car)",NA,4,4,8,4.5,4,2.5,2,-0.349537037037037,-0.574074074074074,NA
"129",31,"Mannelijk","Van Starkenborgh (car)",15,0,0,0,4.75,4.75,4.25,3.25,1.40046296296296,0.675925925925926,2
"130",28,"Mannelijk","Oosterpoort",120,1,5,4,6,3,3.25,2.25,0.400462962962963,-0.324074074074074,1
"131",37,"Mannelijk","Van Starkenborgh (car)",62,0,0,2,2.5,3,2.75,2.25,-0.0995370370370372,-0.324074074074074,1
"132",24,"Mannelijk","Oosterpoort",42,0,0,0,2.25,4.5,3.5,3.5,0.650462962962963,0.925925925925926,3
"133",43,"Mannelijk","Van Starkenborgh (car)",78,4,4,8,5,4.25,3,2,0.150462962962963,-0.574074074074074,2
"134",68,"Vrouwelijk","Reitdiep",220,0,3,15,6,1.75,2,3,-0.849537037037037,0.425925925925926,3
"135",49,"Vrouwelijk","Reitdiep",240,0,10,30,5,4,3.25,2.5,0.400462962962963,-0.074074074074074,3
"136",48,"Mannelijk","Van Starkenborgh (car)",200,0,4,15,5,3.25,2.5,1.5,-0.349537037037037,-1.07407407407407,2
"137",35,"Mannelijk","Reitdiep",48,0,0,0,3.5,3.25,2,2.25,-0.849537037037037,-0.324074074074074,2
"138",64,"Mannelijk","Van Starkenborgh (car)",142,0,0,2,5.75,4.5,2.5,2.75,-0.349537037037037,0.175925925925926,3
"139",32,"Mannelijk","Oosterpoort",42,0,0,2,4.75,3.5,3.25,3,0.400462962962963,0.425925925925926,2
"140",42,"Mannelijk","Van Starkenborgh (car)",72,0,0,20,4.5,3.5,3.25,2.75,0.400462962962963,0.175925925925926,1
"141",32,"Vrouwelijk","Oosterpoort",20,1,2,1,6,4.25,3.5,2.75,0.650462962962963,0.175925925925926,1
"142",NA,"","Van Starkenborgh (car)",NA,0,0,0,6,2,4.25,1.5,1.40046296296296,-1.07407407407407,NA
"143",21,"Vrouwelijk","Oosterpoort",27,0,0,0,5.5,4.75,3.5,2.5,0.650462962962963,-0.074074074074074,1
"144",22,"Mannelijk","Oosterpoort",7,0,3,0,6,4.25,3.25,2.5,0.400462962962963,-0.074074074074074,1
"145",24,"Mannelijk","Oosterpoort",56,0,4,0,3.5,4.25,2.75,3.25,-0.0995370370370372,0.675925925925926,1
"146",22,"Vrouwelijk","Oosterpoort",6,0,1,2,4.75,4,2,3.75,-0.849537037037037,1.17592592592593,3
"147",18,"Vrouwelijk","Oosterpoort",1,0,0,0,3.5,3.5,2.25,2.25,-0.599537037037037,-0.324074074074074,1
"148",NA,"","Oosterpoort",NA,0,1,10,2.25,4.5,3.5,3.5,0.650462962962963,0.925925925925926,NA
"149",50,"Wil ik liever niet zeggen","Reitdiep",230,3,4,10,2.5,3,2,2.25,-0.849537037037037,-0.324074074074074,3
"150",37,"Vrouwelijk","Van Starkenborgh (car)",44,0,0,0,2.75,2.5,2,2.5,-0.849537037037037,-0.074074074074074,2
"151",NA,"","Reitdiep",NA,0,2,20,3.25,2.75,2,2.5,-0.849537037037037,-0.074074074074074,NA
"152",31,"Mannelijk","Oosterpoort",55,0,8,25,3.5,3,3.5,3.25,0.650462962962963,0.675925925925926,3
"153",22,"Vrouwelijk","Bloemenbuurt",3,0,2,3,3.85714285714286,4,2.4,1.75,-0.783018867924528,-0.495283018867925,1
"154",26,"Vrouwelijk","Poortershuizen",2,0,1,0,3.28571428571429,3.75,2.8,1.75,-0.383018867924529,-0.495283018867925,1
"155",NA,"","Poortershuizen",NA,0,2,12,3.85714285714286,5,3,2,-0.183018867924528,-0.245283018867925,NA
"156",66,"Vrouwelijk","Oosterpoort (greening)",424,0,2,4,5.28571428571429,5,4.8,1.75,1.61698113207547,-0.495283018867925,2
"157",67,"Vrouwelijk","Oosterpoort (greening)",552,0,4,6,3.71428571428571,3.25,2.6,2,-0.583018867924528,-0.245283018867925,3
"158",59,"Mannelijk","Poortershuizen",60,1,25,50,3,4.75,4,2.5,0.816981132075472,0.254716981132075,1
"159",24,"Mannelijk","Bloemenbuurt",3,0,2,1,5,3.75,2.4,2.25,-0.783018867924528,0.0047169811320753,1
"160",30,"Mannelijk","Oosterpoort (greening)",30,0,0,12,5.71428571428571,4.25,3.4,2,0.216981132075472,-0.245283018867925,2
"161",26,"Mannelijk","Poortershuizen",90,1,1,4,4,4.5,3,2,-0.183018867924528,-0.245283018867925,2
"162",23,"Vrouwelijk","Poortershuizen",25,0,2,6,5,5,3.8,2.25,0.616981132075471,0.0047169811320753,3
"163",30,"Mannelijk","Oosterpoort (greening)",84,0,2,5,2.71428571428571,4.25,3,2.25,-0.183018867924528,0.0047169811320753,2
"164",23,"Mannelijk","Poortershuizen",48,0,2,5,3.28571428571429,5,3.2,1.75,0.0169811320754718,-0.495283018867925,2
"165",21,"Vrouwelijk","Poortershuizen",25,0,5,1,3.57142857142857,3.25,3.2,2,0.0169811320754718,-0.245283018867925,1
